pace,wind,stryd
04:19,1,116
04:19,1,123
04:18,1,130
04:18,1,137
04:18,1,143
04:18,1,149
04:18,1,155
04:18,1,160
04:17,1,165
04:17,1,170
04:17,1,175
04:17,1,179
04:17,1,184
04:17,1,188
04:16,1,192
04:16,1,195
04:16,1,199
04:16,1,202
04:16,1,205
04:16,1,208
04:16,1,210
04:16,1,213
04:16,1,214
04:16,1,217
04:16,1,219
04:16,1,221
04:16,1,223
04:16,1,224
04:16,1,226
04:16,1,228
04:16,1,229
04:16,1,231
04:16,1,232
04:16,1,234
04:16,0,235
04:16,0,237
04:16,0,238
04:16,0,240
04:16,0,241
04:16,0,243
04:16,0,244
04:16,0,246
04:16,0,247
04:16,0,249
04:16,0,250
04:16,0,252
04:16,0,253
04:16,0,254
04:16,0,256
04:16,0,257
04:16,0,258
04:16,0,259
04:16,0,260
04:16,0,261
04:16,0,262
04:16,0,263
04:16,0,263
04:17,0,264
04:17,0,265
04:17,0,265
04:17,0,266
04:17,0,266
04:17,0,266
04:17,0,267
04:17,0,267
04:17,0,267
04:17,0,267
04:17,0,268
04:17,0,268
04:17,0,268
04:17,0,268
04:17,0,268
04:18,0,268
04:18,0,268
04:18,0,268
04:18,0,269
04:18,0,269
04:18,0,269
04:18,0,269
04:18,0,270
04:18,0,270
04:18,1,270
04:19,1,270
04:19,1,270
04:19,1,270
04:19,1,270
04:19,1,270
04:19,1,270
04:20,1,270
04:20,1,270
04:20,1,270
04:20,1,270
04:21,1,269
04:21,1,269
04:21,1,269
04:22,1,269
04:22,1,269
04:22,1,268
04:23,2,268
04:23,2,267
04:23,2,267
04:24,2,266
04:24,2,266
04:25,1,265
04:25,1,265
04:25,1,265
04:26,1,264
04:26,1,264
04:27,1,264
04:27,1,264
04:27,1,264
04:28,1,263
04:28,1,263
04:29,1,263
04:29,1,262
04:29,1,262
04:30,1,262
04:30,1,262
04:30,1,262
04:31,1,261
04:31,1,261
04:32,1,261
04:32,1,262
04:32,1,261
04:33,1,262
04:33,1,262
04:34,1,262
04:34,1,262
04:34,1,262
04:35,1,262
04:35,1,263
04:35,1,263
04:36,1,263
04:36,1,264
04:36,1,264
04:37,1,264
04:37,1,265
